City,County,Population (2021)[3],Population (2011)[4],Population (2002),Elevation (m),Year statusgranted (a) orfirst attested (b),Image
Roșiorii de Vede,Teleorman,"22,294","27,416","31,873",32,1385b,
Cisnădie,Sibiu,"22,277","14,282","17,204",510,1150b (as Ruetel);1323b (as Heltau);1948a,
Otopeni,Ilfov,"21,750","13,861","10,515",91,2000a,
Caransebeș,Caraș-Severin,"21,714","24,689","31,199",220,1289b;1564a[5],
Zărnești,Brașov,"21,624","23,476","26,520",,1373b;1951a,
Aiud,Alba,"21,307","22,876","28,909",260,1293b,
Târnăveni,Mureș,"20,604","22,075","29,828",300,1278b/1912a,
Câmpia Turzii,Cluj,"20,590","22,223","29,852",300,1925a,
Buftea,Ilfov,"20,586","22,178","19,617",110,1968a,
Codlea,Brașov,"20,534","21,708","24,814",550,1265b/1950a,
Comănești,Bacău,"19,996","19,568","26,237",520,1409b/1952a,
Gherla,Cluj,"19,873","20,982","24,232",250,1291b,
Vulcan,Hunedoara,"19,772","24,160","33,186",610,1462b (as Wolkan); 1953a,
Moinești,Bacău,"19,728","21,787","25,532",,1467b,
Petrila,Hunedoara,"19,600","22,692","28,742",675,1493b/1956a,
Turnu Măgurele,Teleorman,"19,597","24,772","30,187",31,1387b,
Cugir,Alba,"19,473","21,376","30,244",304,1330b (as Villa Kudzyr); 1960a[5],
Carei,Satu Mare,"18,957","21,112","25,590",160,1320b/1871a,
Lupeni,Hunedoara,"18,699","23,390","31,409",725,1770b/1941a,
Târgu Neamț,Neamț,"18,029","18,695","22,634",365,1387b,
Blaj,Alba,"17,816","20,630","21,819",260,1271b,
Orăștie,Hunedoara,"16,825","18,227","24,354",,1224b,
Băicoi,Prahova,"16,722","17,981","20,234",310,1597b/1948a,
Târgu Secuiesc,Covasna,"16,243","18,491","22,251",,1407b,
Balș,Olt,"16,114","18,164","23,147",150,1921a,
Motru,Gorj,"15,950","19,079","25,860",,1385b/1966a,
Ștefănești,Argeș,"15,931","14,541","12,983",,2004a,
Băilești,Dolj,"15,928","17,437","22,231",80,1536b/1921a,
Râșnov,Brașov,"15,920","15,022","16,242",650,1331b[5],
Gheorgheni,Harghita,"15,884","18,377","21,245",810,1232b; 1333b (Sacerdos de Giorgio); 1905a[5],
Salonta,Bihor,"15,792","17,735","20,006",90,1606b,
Câmpulung Moldovenesc,Suceava,"15,642","16,722","21,862",630,1411b/1866a,
Drăgășani,Vâlcea,"15,617","17,871","22,499",,1535b,
Moreni,Dâmbovița,"15,472","18,687","22,868",472,1584b/1948a,
Vișeu de Sus,Maramureș,"15,349","15,037","18,444",427,1365b/1956a,
Adjud,Vrancea,"15,178","16,045","20,776",97,1433b,
Vicovu de Sus,Suceava,"15,143","13,308","14,125",,1436b/2004a,
Cernavodă,Constanța,"15,088","17,022","20,514",50,300 BC–100 BCb (as Axiopolis);1860b (as Černa Voda)[7],
Filiași,Dolj,"15,031","16,900","20,159",,1573b/1968a,
Breaza,Prahova,"14,871","15,928","18,863",600,1431b/1952a,
Chitila,Ilfov,"14,762","14,184","12,643",84,2005a,
Luduș,Mureș,"14,757","15,328","18,647",,1377b/1960a,
Negrești-Oaș,Satu Mare,"14,616","11,867","16,356",,1965a,
Măgurele,Ilfov,"14,414","11,041","9,200",,2005a,
Baia Sprie,Maramureș,"14,329","15,476","15,735",500,1329b,
Buhuși,Bacău,"14,152","14,562","21,993",235,1438b/1930a,
Ovidiu,Constanța,"13,968","13,847","13,458",,1989a,
Șimleu Silvaniei,Sălaj,"13,948","14,436","17,053",,1251b,
Calafat,Dolj,"13,807","17,336","21,227",35,1424b,
Marghita,Bihor,"13,573","15,770","18,650",,1216b/1967a,
Corabia,Olt,"13,527","16,441","21,932",35,1596b/1871a,
Urziceni,Ialomița,"13,380","15,308","19,088",60,1596b,
Gura Humorului,Suceava,"13,278","13,667","16,740",,1490b/1904a,
